sku,use_type,use_duration
204,Formulado,Anual
203,Formulado,Mensual
20013,Óculos,Solar
462121206-P,Óculos,Solar
454403501-P,Óculos,Solar
454400307-P,Óculos,Solar
454510706-P,Óculos,Solar
454500107-P,Óculos,Solar
454610806-P,Óculos,Solar
454610706-P,Óculos,Solar
454600107-P,Óculos,Solar
453001401-P,Óculos,Solar
456150201-P,Óculos,Receituário
456401618-P,Óculos,Receituário
32,Astigmatismo,Mensual
456900318-P,Óculos,Receituário
456919318-P,Óculos,Receituário
41CVLB101-LP,Miopía e Hipermetropía,Mensual
317,Astigmatismo,Mensual
235,Sem Grau,Mensual
451712418-p,Óculos,Receituário
456250001-P,Óculos,Solar
456250501-P,Óculos,Solar
230001403-P,Óculos,Solar
456500318-P,Óculos,Receituário
456602401-P,Óculos,Solar
456707618-P,Óculos,Receituário
456870018-P,Óculos,Receituário
246,Astigmatismo,Mensual
457001718-P,Óculos,Receituário
457101718-P,Óculos,Receituário
454701401-P,Óculos,Solar
454800602-P,Óculos,Solar
454801701-P,Óculos,Solar
454901402-P,Óculos,Solar
454900107-P,Óculos,Solar
456001401-P,Óculos,Solar
455146301-P,Óculos,Solar
457246401-P,Óculos,Solar
455001118-P,Óculos,Receituário
455201318-P,Óculos,Receituário
455300118-P,Óculos,Receituário
455335718-P,Óculos,Receituário
455401418-P,Óculos,Receituário
455996618-P,Óculos,Receituário
455900118-P,Óculos,Receituário
462300107-P,Óculos,Solar
41ALAO123-LP,Presbicia,Mensual
41ALAO122-LP,Astigmatismo,Mensual
455901418-P,Óculos,Receituário
41ALAO110-LP,Miopía e Hipermetropía,Mensual
455146318-P,Óculos,Receituário
457246418-P,Óculos,Receituário
457346518-P,Óculos,Receituário
457346618-P,Óculos,Receituário
455512218-P,Óculos,Receituário
455560218-P,Óculos,Receituário
201,Formulado,Anual
455660118-P,Óculos,Receituário
455712218-P,Óculos,Receituário
455760218-P,Óculos,Receituário
455812218-P,Óculos,Receituário
455860018-P,Óculos,Receituário
206,Formulado,Anual
301,Astigmatismo,Quincenal
2130,Solución,Higienização
462901403-P,Óculos,Solar
458601418-P,Óculos,Receituário
353,Sem Grau,Mensual
201SEMGRAU,Sem Grau,Anual
451401718,Óculos,Receituário
459040918-P,Óculos,Receituário
463201404-P,Óculos,Solar
459040906-P,Óculos,Solar
462900318-P,Óculos,Receituário
320028318-P,Óculos,Receituário
203SEMGRAU,Sem Grau,Mensual
204SEMGRAU,Sem Grau,Anual
2246,,
206SEMGRAU,Sem Grau,Anual
235SEMGRAU,Sem Grau,Mensual
458700307-P,Óculos,Solar
463601430-P,Óculos,Receituário
463600320-P,Óculos,Receituário
459401418-P,Óculos,Receituário
4165622T33P,Óculos,Solar
2433121-P,Acessórios,Acessórios
43-02,Solución,Higienização
460000106-P,Óculos,Solar
245,Miopía e Hipermetropía,Mensual
460949003-P,Óculos,Solar
458700353-P,Óculos,Solar
480,Miopía e Hipermetropía,Mensual
481,Miopía e Hipermetropía,Anual
457410706-P,Óculos,Solar
460333218-P,Óculos,Receituário
200,Sem Grau,Mensual
457702306-P,Óculos,Solar
451301206-p,Óculos,Solar
459246718-P,Óculos,Receituário
462449018-P,Óculos,Receituário
358,Miopía e Hipermetropía,Mensual
247,Presbicia,Mensual
2247,,
246,Astigmatismo,Mensual
463253618-P,Óculos,Receituário
463453918-P,Óculos,Receituário
410004118-P,Óculos,Receituário
310000118-P,Óculos,Receituário
450010818,Óculos,Receituário
451550318-p,Óculos,Receituário
451496318-p,Óculos,Receituário
210000318-p,Óculos,Receituário
400001606-p,Óculos,Solar
450601324-P,Óculos,Solar
31286,,
463451940-P,Óculos,Solar
450113403-p,Óculos,Solar
453100601-p,Óculos,Solar
459548318-P,Óculos,Receituário
459701018-P,Óculos,Receituário
463501420-P,Óculos,Receituário
463501430-P,Óculos,Receituário
463500310-P,Óculos,Receituário
463500315-P,Óculos,Receituário
458001401-P,Óculos,Solar
454048718-P,Óculos,Receituário
341-P,Insumos,Insumos
4300,Óculos,Solar
248,Miopía e Hipermetropía,Diario
462600106-P,Óculos,Solar
462640302-P,Óculos,Solar
451801607-P,Óculos,Solar
22115,Óculos,Receituário
451612201-p,Óculos,Solar
351,Insumos,Insumos
457547118-P,Óculos,Receituário
400,Presbicia,Quincenal
457410802-P,Óculos,Solar
458601401-P,Óculos,Solar
453200601-P,Óculos,Solar
458629303-P,Óculos,Solar
458700318-P,Óculos,Receituário
459147801-P,Óculos,Solar
457801401-P,Óculos,Solar
458547701-P,Óculos,Solar
460204118-P,Óculos,Receituário
457701401-P,Óculos,Solar
460701401-P,Óculos,Solar
460801318-P,Óculos,Receituário
463051918-P,Óculos,Receituário
460500318-P,Óculos,Receituário
460500307-P,Óculos,Solar
460300318-P,Óculos,Receituário
460302018-P,Óculos,Receituário
460300302-P,Óculos,Solar
460302002-P,Óculos,Solar
4031,,
461049202-P,Óculos,Solar
459101401-P,Óculos,Solar
461149218-P,Óculos,Receituário
461149301-P,Óculos,Solar
462251907-P,Óculos,Solar
458600618-P,Óculos,Receituário
458600607-P,Óculos,Solar
463600315-P,Óculos,Receituário
462440418-P,Óculos,Receituário
459000118-P,Óculos,Receituário
462652702-P,Óculos,Solar
462552518-P,Óculos,Receituário
462500718-P,Óculos,Receituário
462500706-P,Óculos,Solar
457940318-P,Óculos,Receituário
2010-P,Acessórios,Acessórios
462552602-P,Óculos,Solar
450345418-p,Óculos,Receituário
2011-P,Acessórios,Acessórios
2012-P,Acessórios,Acessórios
460310707-P,Óculos,Solar
460501618-P,Óculos,Receituário
463251918-P,Óculos,Receituário
463401418-P,Óculos,Receituário
463301402-P,Óculos,Solar
459501401-P,Óculos,Solar
463353707-P,Óculos,Solar
463251907-P,Óculos,Solar
463854003-P,Óculos,Solar
463754103-P,Óculos,Solar
463754203-P,Óculos,Solar
464054303-P,Óculos,Solar
464054403-P,Óculos,Solar
463954503-P,Óculos,Solar
458740418-P,Óculos,Receituário
458929318-P,Óculos,Receituário
458947801-P,Óculos,Solar
458801718A-P,Óculos,Receituário
205-COMBO,Combo,Combo
205-BIOTRUE,Combo,Combo
458101401-P,Óculos,Solar
459001347-P,Óculos,Solar
459000106-P,Óculos,Solar
462953502-P,Óculos,Solar
458700307-P,Óculos,Solar
462251918-P,Óculos,Receituário
462802018-P,Óculos,Receituário
453206001A-P,Óculos,Solar
459140306-P,Óculos,Solar
463201430-P,Óculos,Solar
460310718-P,Óculos,Receituário
403,Solución,Higienização
463101418-P,Óculos,Receituário
461049106-P,Óculos,Solar
463301418-P,Óculos,Receituário
460548902-P,Óculos,Solar
20070,,
451300101-P,Óculos,Solar
463253628-P,Óculos,Solar
457610706-P,Óculos,Solar
458000618-P,Óculos,Receituário
453001701-p,Óculos,Solar
463049003-P,Óculos,Solar
463501410-P,Óculos,Receituário
460700107-P,Óculos,Solar
200140031-P,Óculos,Receituário
451300301-p,Óculos,Solar
462121206-P,Óculos,Solar
450013418,Óculos,Receituário
4589,Miopía e Hipermetropía,Diario
205GL29-30,,
463101607-P,Óculos,Solar
454040218-P,Óculos,Receituário
454048718-P,Óculos,Receituário
462901403-P,Óculos,Solar
457810801-P,Óculos,Solar
463201404-P,Óculos,Solar
4CXS-159,Combo,Combo
450113403-P,Óculos,Solar
460400607-P,Óculos,Solar
463501410-P,Óculos,Receituário
460248518-P,Óculos,Receituário
463501410-P,Óculos,Receituário
2433122-P,,
358,Miopía e Hipermetropía,Mensual
359,Miopía e Hipermetropía,Diario
451801607-P,Óculos,Solar
460548702-P,Óculos,Solar
458740418-P,Óculos,Receituário
451301206-p,Óculos,Solar
458947801-P,Óculos,Solar
458801718A-P,Óculos,Receituário
210,Formulado,Trimestral
462552602-P,Óculos,Solar
458101401-P,Óculos,Solar
462251918-P,Óculos,Receituário
450400118,Óculos,Receituário
459000106-P,Óculos,Solar
462802018-P,Óculos,Receituário
375,Sem Grau,Anual
460310718-P,Óculos,Receituário
463301418-P,Óculos,Receituário
459101401-P,Óculos,Solar
457940318-P,Óculos,Receituário
459401418-P,Óculos,Receituário
453206001A-P,Óculos,Solar
360,Formulado,Mensual
453002401-P,Óculos,Solar
459140306-P,Óculos,Solar
462151606-P,Óculos,Solar
453102306-P,Óculos,Solar
458929318-P,Óculos,Receituário
460548902-P,Óculos,Solar
461249201-P,Óculos,Solar
458001401-P,Óculos,Solar
450012406,Óculos,Solar
230001606-P,Óculos,Solar
459501401-P,Óculos,Solar
451300101-P,Óculos,Solar
460050307-P,Óculos,Solar
458301601-P,Óculos,Solar
458101601-P,Óculos,Solar
458740402-P,Óculos,Solar
450304018-p,Óculos,Receituário
463501425-P,Óculos,Receituário
463253628-P,Óculos,Solar
458801703A-P,Óculos,Solar
460701445-P,Óculos,Solar
458000618-P,Óculos,Receituário
247,Presbicia,Mensual
462440401-P,Óculos,Solar
463351907-P,Óculos,Solar
463049003-P,Óculos,Solar
37,Presbicia,Mensual
481,Miopía e Hipermetropía,Anual
356,Formulado,Diario
357,Sem Grau,Diario
43,Solución,Higienização
361,Sem Grau,Mensual
458601618-P,Óculos,Receituário
458701418-P,Óculos,Receituário
460001402-P,Óculos,Solar
2724,,
459221307-P,Óculos,Solar
41BLBL001,Miopía e Hipermetropía,Mensual
2CXS-551,Combo,Combo
461850701-P,Óculos,Solar
2607,,
450012201-P,Óculos,Solar
461942118-P,Óculos,Receituário
450647601-P,Óculos,Solar
450410618-p,Óculos,Receituário
458547718-P,Óculos,Receituário
460648801-P,Óculos,Solar
400-ML,Combo,Combo
460701418-P,Óculos,Receituário
450601425-P,Óculos,Solar
21286,,
2091,,
2093,,
460245504-P,Óculos,Solar
4635,Óculos,Solar
2095,,
230000106-P,Óculos,Solar
457810801-P,Óculos,Solar
458547603-P,Óculos,Solar
460400607-P,Óculos,Solar
460030207-P,Óculos,Solar
2104,,
340,Astigmatismo,Anual
2096,,
375,Sem Grau,Anual
458929301-P,Óculos,Solar
459248102-P,Óculos,Solar
451612406-p,Óculos,Solar
453801401-p,Óculos,Solar
463047602-P,Óculos,Solar
320003418A-P,Óculos,Receituário
458501418-P,Óculos,Receituário
2097,,
2566,,
450013418-P,Óculos,Receituário
459901418-P,Óculos,Receituário
205,Miopía e Hipermetropía,Mensual
2571,,
2578,,
245,Miopía e Hipermetropía,Mensual
453002401-P,Óculos,Solar
453102306-P,Óculos,Solar
2600,,
2601,,
462900318-P,Óculos,Receituário
2637,,
2638,,
2639,,
461249201-P,Óculos,Solar
4301,Óculos,Solar
201SEMGRAU,Sem Grau,Anual
204SEMGRAU,Sem Grau,Anual
2634,,
2636,,
43-02-03-04,Acessórios,Acessórios
207GA,Miopía e Hipermetropía,Anual
235SEMGRAU,Sem Grau,Mensual
463145102-P,Óculos,Solar
4042,Óculos,Solar
2CXS-201,Combo,Combo
2105,,
2577,,
2579,,
463601415-P,Óculos,Receituário
462552618-P,Óculos,Receituário
458834518-P,Óculos,Receituário
460050307-P,Óculos,Solar
460800118-P,Óculos,Receituário
458401401-P,Óculos,Solar
458601618-P,Óculos,Receituário
458701418-P,Óculos,Receituário
462151606-P,Óculos,Solar
461149106-P,Óculos,Solar
459221307-P,Óculos,Solar
2CXS-203,Combo,Combo
4625,Óculos,Solar
460001402-P,Óculos,Solar
463500310-P,Óculos,Receituário
463501410-P,Óculos,Receituário
461349518-P,Óculos,Receituário
460708818-P,Óculos,Receituário
20012,,
23ALOF104,Solución,
23ALOF104,Solución,
23ALOF103,Solución,
2632,,
23ALOF103,Solución,
460018507-P,Óculos,Solar
460030207-P,Óculos,Solar
23BLRE104,Solución,
23BLRE104,Solución,
21ALFL102,Cosméticos,Mensual
230001606-P,Óculos,Solar
21ALFL102,Cosméticos,Mensual
23BLRE103,Solución,
317,Astigmatismo,Mensual
23BLRE103,Solución,
450013403,Óculos,Solar
23ALOF102,Solución,
458740402-P,Óculos,Solar
23ALOF102,Solución,
451612218-p,Óculos,Receituário
340,Astigmatismo,Anual
21ALFL101,Cosméticos,Mensual
21ALFL101,Cosméticos,Mensual
4588,Miopía e Hipermetropía,Diario
23ALOF101,Solución,
458801703A-P,Óculos,Solar
23ALOF101,Solución,
23SFAE102,Solución,
23BLBT102,Solución,
23BLRE102,Gotas,
23BLRE102,Gotas,
41ALFL102,Cosméticos,Diario
361,Sem Grau,Mensual
41ALFL102,Cosméticos,Diario
33CBAO101,Solución,
33CBAO101,Solución,
33ALOF103,Solución,
463101607-P,Óculos,Solar
209,Sem Grau,Diario
33ALOF103,Solución,
200140103-p,Óculos,Receituário
200101418-p,Óculos,Receituário
43ALOF102,Solución,
43ALOF102,Solución,
462151501-P,Óculos,Solar
43ALOF101,Solución,
43ALOF101,Solución,
33ALOF102,Gotas,
33ALOF102,Gotas,
461850701-P,Óculos,Solar
22,Formulado,Mensual
21BLSL105,Cosméticos,Mensual
462440401-P,Óculos,Solar
32,Astigmatismo,Mensual
21PRCV107,Astigmatismo,Mensual
21PRCV107,Astigmatismo,Mensual
350020307-p,Óculos,Solar
41BLOP101,Miopía e Hipermetropía,Anual
41BLOP101,Miopía e Hipermetropía,Anual
21PRCV106,Miopía e Hipermetropía,Diario
463101440-P,Óculos,Solar
320003418A-P,Óculos,Receituário
21PRCV106,Miopía e Hipermetropía,Diario
21ALAO105,Miopía e Hipermetropía,Mensual
21ALAO105,Miopía e Hipermetropía,Mensual
21ALAO108,Miopía e Hipermetropía,Mensual
43,Solución,Higienização
460296303-P,Óculos,Solar
21ALAO104,Astigmatismo,Mensual
21ALAO104,Astigmatismo,Mensual
21ALAO103,Presbicia,Mensual
403,,
21ALAO103,Presbicia,Mensual
21BLPV103,Astigmatismo,Mensual
21BLPV103,Astigmatismo,Mensual
450012201,Óculos,Solar
450400118-p,Óculos,Receituário
21BLSL104,Miopía e Hipermetropía,Mensual
21BLSL103,Astigmatismo,Mensual
21BLSL103,Astigmatismo,Mensual
400001403,Óculos,Solar
215,Formulado,Quincenal
21CVBM102,Miopía e Hipermetropía,Mensual
21CVBM102,Miopía e Hipermetropía,Mensual
21ALDL101,Miopía e Hipermetropía,Diario
458547603-P,Óculos,Solar
355,Sem Grau,Mensual
21ALDL101,Miopía e Hipermetropía,Diario
21PRCV105,Miopía e Hipermetropía,Mensual
230029901-P,Óculos,Solar
230007206-P,Óculos,Solar
4050,Óculos,Solar
21PRCV105,Miopía e Hipermetropía,Mensual
458301401-P,Óculos,Solar
21PRCV104,Presbicia,Mensual
400,Presbicia,Quincenal
21PRCV104,Presbicia,Mensual
310000118-P,Óculos,Receituário
21PRCV102,Presbicia,Mensual
310000102-P,Óculos,Solar
21PRCV102,Presbicia,Mensual
21CQXT102,Miopía e Hipermetropía,Anual
21CQXT101,Astigmatismo extra rango,Anual
460701445-P,Óculos,Solar
450647601-P,Óculos,Solar
2155,Óculos,Solar
21BLPV102,Presbicia,Mensual
21BLPV102,Presbicia,Mensual
4026,Óculos,Solar
21BLSL106,Cosméticos,Anual
21PRCV101,Astigmatismo extra rango,Mensual
458902303-P,Óculos,Solar
21PRCV101,Astigmatismo extra rango,Mensual
451550306-P,Óculos,Solar
451301703-P,Óculos,Solar
451201607-P,Óculos,Solar
450601726-P,Óculos,Solar
450601425-P,Óculos,Solar
450601324-P,Óculos,Solar
320044518-P,Óculos,Receituário
320028318-P,Óculos,Receituário
21BLPV101,Miopía e Hipermetropía,Mensual
309-P,Solución,Higienização
2433121-P,Acessórios,Acessórios
462852918-P,Óculos,Receituário
21BLPV101,Miopía e Hipermetropía,Mensual
4313,,
4368GB187,,
463047618-P,Óculos,Receituário
21XXXX102,Astigmatismo extra rango,Anual
20273,Acessórios,Acessórios
451612406-p,Óculos,Solar
210000307-P,Óculos,Solar
460101718-p,Óculos,Receituário
402,Tórica Multifocal,Mensual
31JJAC121,Miopía e Hipermetropía,Quincenal
459901418-P,Óculos,Receituário
31ALAO105,Presbicia,Mensual
460901401-P,Óculos,Solar
207GA,Miopía e Hipermetropía,Anual
450304018-p,Óculos,Receituário
461029918-P,Óculos,Receituário
31ALAO105,Presbicia,Mensual
41ALAO104,Presbicia,Mensual
41ALAO104,Presbicia,Mensual
463500320-P,Óculos,Receituário
31ALAO106,Astigmatismo,Mensual
31ALAO106,Astigmatismo,Mensual
2CXS-airoptixcolorsCG,Combo,Combo
41ALAO105,Astigmatismo,Mensual
2CXS-516,Combo,Combo
41ALAO105,Astigmatismo,Mensual
31ALAO107,Miopía e Hipermetropía,Mensual
31ALAO107,Miopía e Hipermetropía,Mensual
41ALAO106,Miopía e Hipermetropía,Mensual
41ALAO106,Miopía e Hipermetropía,Mensual
458547718-P,Óculos,Receituário
31ALAO109,Miopía e Hipermetropía,Mensual
31ALAO109,Miopía e Hipermetropía,Mensual
341-P,Acessórios,Acessórios
250012218-P,Óculos,Receituário
41ALAO108,Miopía e Hipermetropía,Mensual
451842118-P,Óculos,Receituário
460648801-P,Óculos,Solar
451821218-P,Óculos,Receituário
250010818-P,Óculos,Receituário
210019318-P,Óculos,Receituário
451801607-P,Óculos,Solar
451801302-P,Óculos,Solar
41ALAO108,Miopía e Hipermetropía,Mensual
460101718-p,Óculos,Receituário
460100318,Óculos,Receituário
31CVBF103,Astigmatismo,Mensual
210001618,Óculos,Receituário
230001606-P,Óculos,Solar
230014203-P,Óculos,Solar
463051907-P,Óculos,Solar
460046003-P,Óculos,Solar
460001402-P,Óculos,Solar
350001606-P,Óculos,Solar
350046206-P,Óculos,Solar
451501218-p,Óculos,Receituário
454510806-P,Óculos,Solar
454510706-P,Óculos,Solar
454500107-P,Óculos,Solar
454610806-P,Óculos,Solar
31CVBF104,Miopía e Hipermetropía,Mensual
454610706-P,Óculos,Solar
454600107-P,Óculos,Solar
454403501-P,Óculos,Solar
31ALFL104,Cosméticos,Mensual
454400307-P,Óculos,Solar
31ALFL104,Cosméticos,Mensual
41ALFL103,Cosméticos,Mensual
230029901,Óculos,Solar
240042818-P,Óculos,Receituário
41ALFL103,Cosméticos,Mensual
250010818-P,Óculos,Receituário
462340418-P,Óculos,Receituário
462340402-P,Óculos,Solar
31ALFL105,Cosméticos,Mensual
31ALFL105,Cosméticos,Mensual
2CXS-400-ML,Combo,Combo
460100307,Óculos,Solar
459200318-P,Óculos,Receituário
451501231-p,Óculos,Solar
240043704-P,Óculos,Solar
460046003-P,Óculos,Solar
458929301-P,Óculos,Solar
459248102-P,Óculos,Solar
462802002-P,Óculos,Solar
457550818-P,Óculos,Receituário
41ALFL104,Cosméticos,Mensual
457547318-P,Óculos,Receituário
41ALFL104,Cosméticos,Mensual
463047602-P,Óculos,Solar
460101707-p,Óculos,Solar
41BLPV103,Miopía e Hipermetropía,Mensual
240043718-p,Óculos,Receituário
458501418-P,Óculos,Receituário
250012218-P,Óculos,Receituário
451347603-P,Óculos,Solar
41BLPV103,Miopía e Hipermetropía,Mensual
31BLPV107,Astigmatismo,Mensual
41BLPV104,Astigmatismo,Mensual
41BLPV104,Astigmatismo,Mensual
31BLSL105,Astigmatismo,Mensual
31BLSL106,Miopía e Hipermetropía,Mensual
31BLSL107,Cosméticos,Mensual
459948418-P,Óculos,Receituário
31PRCV101,Astigmatismo extra rango,Mensual
31PRCV102,Presbicia,Mensual
458201601-P,Óculos,Solar
31PRCV103,Miopía e Hipermetropía,Mensual
31PRCV104,Astigmatismo,Mensual
43ALOF103,Solución,
4165865T53P,Óculos,Solar
43ALOF103,Solución,
451612218-p,Óculos,Receituário
33ALOF104,Solución,
4532089401A-P,Óculos,Solar
450410618-p,Óculos,Receituário
33ALOF104,Solución,
463101404-P,Óculos,Solar
461750501-P,Óculos,Solar
33ALOF105,Solución,
33ALOF105,Solución,
43ALOF104,Solución,
43ALOF104,Solución,
33BLRE104,Gotas,
43BLRE101,Gotas,
43BLRE101,Gotas,
41ALAO109,Miopía e Hipermetropía,Mensual
41ALAO109,Miopía e Hipermetropía,Mensual
23OPFG103,Gotas,
204,Formulado,Anual
23OPFG103,Gotas,
462151501-P,Óculos,Solar
463501415-P,Óculos,Receituário
23BLBT101,Solución,
21ALDL102,Presbicia,Diario
21ALDL102,Presbicia,Diario
21ALDL103,Astigmatismo,Diario
21ALDL103,Astigmatismo,Diario
235,Sem Grau,Mensual
21CVBF307,Astigmatismo extra rango,Mensual
463145102-P,Óculos,Solar
21CVBF307,Astigmatismo extra rango,Mensual
51ALAO104,Presbicia,Mensual
301,Astigmatismo,Quincenal
51ALAO105,Astigmatismo,Mensual
51ALAO108,Miopía e Hipermetropía,Mensual
51ALAO109,Miopía e Hipermetropía,Mensual
51ALFL103,Cosméticos,Mensual
51ALFL104,Cosméticos,Mensual
51BLPV103,Miopía e Hipermetropía,Mensual
462552618-P,Óculos,Receituário
463101440-P,Óculos,Solar
454040206-P,Óculos,Solar
51BLSL103,Astigmatismo,Mensual
51BLOP101,Miopía e Hipermetropía,Anual
458801401-P,Óculos,Solar
281,Miopía e Hipermetropía,Diario
51CVBM101,Astigmatismo,Mensual
463101618-P,Óculos,Receituário
452101418-p,Óculos,Receituário
462151718-P,Óculos,Receituário
53BLBT101,Solución,
462134501-P,Óculos,Solar
20273,Acessórios,Acessórios
371,Incolor,Descartável
51CVPR102,Miopía e Hipermetropía,Mensual
4300,Óculos,Solar
461349518-P,Óculos,Receituário
453800106-p,Óculos,Solar
463500330-P,Óculos,Receituário
462252102-P,Óculos,Solar
462251806-P,Óculos,Solar
51BLSL305,Cosméticos,Mensual
247,Presbicia,Mensual
453800307-P,Óculos,Solar
458834518-P,Óculos,Receituário
462449006-P,Óculos,Solar
310,,
51CVPR103,Presbicia,Mensual
51BLOP102,Miopía e Hipermetropía,Anual
458629318,Óculos,Receituário
460800118-P,Óculos,Receituário
460548918-P,Óculos,Receituário
462151702-P,Óculos,Solar
458601606-P,Óculos,Solar
300,Astigmatismo,Diario
51BLOP103,Cosméticos,Anual
459001718A-P,Óculos,Receituário
459040918-P,Óculos,Receituário
459048018-P,Óculos,Receituário
459001703A-P,Óculos,Solar
459040906-P,Óculos,Solar
459048001-P,Óculos,Solar
